ip,latitude,longitude,label
103.144.28.127,34.05223,-118.24368,solar
104.173.154.39,34.06334,-117.65089,solar
104.174.47.19,33.78252,-117.22865,solar
104.174.76.164,33.83585,-118.34063,solar
104.192.91.118,37.5014,-118.4048,solar
104.192.91.126,37.5014,-118.4048,solar
104.192.91.86,37.5014,-118.4048,solar
104.194.68.100,34.05223,-118.24368,solar
104.194.69.215,34.05223,-118.24368,solar
104.220.27.72,38.79073,-121.23578,solar
104.221.233.92,33.76696,-118.18923,solar
104.224.152.121,34.05223,-118.24368,solar
104.224.157.21,34.05223,-118.24368,solar
104.225.148.244,34.05223,-118.24368,solar
104.225.149.35,34.05223,-118.24368,solar
104.225.235.130,34.05223,-118.24368,solar
104.233.202.125,37.33939,-121.89496,solar
104.234.36.209,34.05223,-118.24368,solar
104.236.159.193,37.77493,-122.41942,solar
104.243.18.192,34.05223,-118.24368,solar
104.247.143.14,36.20773,-119.34734,solar
104.247.149.54,36.33023,-119.29206,solar
104.247.151.10,35.96856,-119.29178,solar
104.247.151.155,36.0594,-119.31206,solar
104.247.151.2,36.0594,-119.31206,solar
104.248.176.173,37.35411,-121.95524,solar
104.248.183.153,37.35411,-121.95524,solar
104.250.128.35,34.05223,-118.24368,solar
104.250.128.38,34.05223,-118.24368,solar
104.33.226.170,34.16028,-118.65231,solar
104.36.252.2,37.66882,-122.0808,solar
104.42.199.6,37.33939,-121.89496,solar
104.45.239.135,37.33939,-121.89496,solar
104.58.248.63,34.18084,-118.30897,solar
104.6.120.137,36.60024,-121.89468,solar
107.127.250.154,37.33939,-121.89496,solar
107.138.144.158,37.38605,-122.08385,solar
107.148.177.78,34.05223,-118.24368,solar
107.149.141.211,34.05223,-118.24368,solar
107.150.25.111,34.05223,-118.24368,solar
107.152.47.189,34.1214,-118.10646,solar
107.170.213.49,37.77493,-122.41942,solar
107.170.240.221,37.77493,-122.41942,solar
107.174.85.153,34.05223,-118.24368,solar
107.175.233.111,34.05223,-118.24368,solar
107.201.133.249,34.44361,-118.60953,solar
107.220.67.53,33.66946,-117.82311,solar
107.241.66.139,37.54827,-121.98857,solar
107.241.66.157,37.54827,-121.98857,solar
107.241.66.208,37.54827,-121.98857,solar
107.3.161.28,37.323,-122.03218,solar
107.84.188.126,37.45383,-122.18219,solar
107.84.188.180,37.45383,-122.18219,solar
107.84.188.185,37.45383,-122.18219,solar
107.84.189.187,37.45383,-122.18219,solar
107.84.189.54,37.45383,-122.18219,solar
107.89.207.59,37.33939,-121.89496,solar
108.146.88.146,37.33939,-121.89496,solar
108.146.88.204,37.33939,-121.89496,solar
108.146.88.206,37.33939,-121.89496,solar
108.146.88.207,37.33939,-121.89496,solar
108.160.75.56,36.72356,-120.05988,solar
108.160.78.210,36.74773,-119.77237,solar
108.221.20.37,37.33939,-121.89496,solar
108.238.132.252,37.36883,-122.03635,solar
12.157.192.179,35.07887,-120.54267,solar
12.160.169.122,37.49466,-120.84659,solar
12.167.102.143,38.54491,-121.74052,solar
12.167.102.164,38.54491,-121.74052,solar
12.219.142.130,34.06251,-118.12285,solar
12.238.11.99,36.96134,-120.06072,solar
12.27.214.157,38.58157,-121.4944,solar
12.35.240.242,36.70801,-119.55597,solar
128.199.12.160,37.35411,-121.95524,solar
13.52.240.55,37.33939,-121.89496,solar
13.56.150.239,37.33939,-121.89496,solar
13.56.179.127,37.33939,-121.89496,solar
13.56.41.37,37.33939,-121.89496,solar
13.56.78.187,37.33939,-121.89496,solar
13.57.108.164,37.33939,-121.89496,solar
13.57.138.116,37.33939,-121.89496,solar
13.57.189.188,37.33939,-121.89496,solar
13.57.189.5,37.33939,-121.89496,solar
13.57.200.166,37.33939,-121.89496,solar
13.57.235.201,37.33939,-121.89496,solar
13.57.50.79,37.33939,-121.89496,solar
13.57.52.63,37.33939,-121.89496,solar
134.209.140.119,37.35411,-121.95524,solar
134.209.140.182,37.35411,-121.95524,solar
135.180.108.37,37.77493,-122.41942,solar
135.180.134.186,37.77493,-122.41942,solar
135.84.100.150,37.44188,-122.14302,solar
136.179.13.40,34.0239,-118.17202,solar
136.24.139.241,37.80437,-122.2708,solar
136.25.120.77,37.77493,-122.41942,solar
136.25.128.40,37.80437,-122.2708,solar
136.26.0.80,32.71571,-117.16472,solar
136.26.69.18,32.71571,-117.16472,solar
136.26.69.201,32.71571,-117.16472,solar
136.26.69.4,32.71571,-117.16472,solar
136.52.190.84,33.66946,-117.82311,solar
136.52.64.252,33.74585,-117.82617,solar
137.175.102.111,37.33939,-121.89496,solar
137.184.180.160,37.35411,-121.95524,solar
137.184.186.150,37.35411,-121.95524,solar
137.184.224.108,37.35411,-121.95524,solar
137.184.3.109,37.35411,-121.95524,solar
138.128.193.254,37.33939,-121.89496,solar
138.128.222.219,34.05223,-118.24368,solar
