,IP,Port,URL,Inverter Type,Latitude,Longitude,Title,Other,Capacity,# of Microinverters
1,72.253.91.145,8021,http://72.253.91.145:8021/57A4C/,egauge,21.3374,-158.09676,HT Kapolei CO,,35.32,
2,72.234.167.53,8021,http://72.234.167.53:8021/58863/,egauge,21.4504,-158.01503,HiTel - Kalaoa,,15.39,
3,72.234.98.152,8021,http://72.234.98.152:8021/58863/,egauge,21.4504,-158.01503,HT Naalehu CO,,14.04,
4,72.235.206.19,8021,http://72.235.206.19:8021/57A4C/,egauge,21.28906,-157.71734,HT Koko Head CO,,37.65,
5,76.81.97.38,80,http://76.81.97.38/5D813/,egauge,21.4504,-158.01503,Kalani Gardens,modbus server,75.37,
6,72.235.214.165,8021,http://72.235.214.165:8021/58E55/,egauge,21.30694,-157.85833,HT - Manoa,,17.03,
7,76.93.220.246,80,http://76.93.220.246/5AA89/,egauge,21.2941,-157.8284,eGauge Center,modbus server,0,
8,72.235.242.223,8021,http://72.235.242.223:8021/57A4C/,egauge,21.39734,-157.97516,HT Pearl City CO,,62.86,
9,76.93.192.134,80,http://76.93.192.134/5AA89/,egauge,21.33555,-158.0582,Community Building - Ohana Ola O Kahumana,,18.47,
10,72.235.214.71,8021,http://72.235.214.71:8021/57A4C/,egauge,21.30694,-157.85833,HT Moanalua CO,,60.44,
11,72.253.154.144,8021,http://72.253.154.144:8021/57A4C/,egauge_sma,21.30694,-157.85833,HT Moanalua Baseyard Building D,,144.99,
12,72.235.111.89,8021,http://72.235.111.89:8021/,egauge,21.4504,-158.01503,HT2 - Kailua,,57.11,
13,72.253.154.150,8021,http://72.253.154.150:8021/57A4C/,egauge_sma,21.30694,-157.85833,Moanalua Baseyard Bldg C1,,66.73,
14,72.253.106.123,8021,http://72.253.106.123:8021/57A4C/,egauge_sma,21.4504,-158.01503,Hi-Tel Wavecom,,72.98,
15,66.8.183.249,80,http://66.8.183.249/home,enphase,21.33555,-158.0582,home,,140,14
16,76.88.171.112,80,http://76.88.171.112/home,enphase,21.2887,-157.8006,home,,0,0
17,98.151.18.2,80,http://98.151.18.2/home,enphase,21.39734,-157.97516,home,,240,24
18,98.150.235.216,80,http://98.150.235.216/home,enphase,21.39994,-157.79895,home,,300,30
19,98.151.229.56,80,http://98.151.229.56/home,enphase,21.4504,-158.01503,home,,140,14
20,141.239.159.108,80,http://141.239.159.108/home,enphase,21.30694,-157.85833,home,,140,14
21,98.151.174.9,80,http://98.151.174.9/home,enphase,21.39734,-157.97516,home,,270,27
22,66.8.215.54,80,http://66.8.215.54/home,enphase,21.3179,-157.8521,home,,120,12
23,66.91.104.226,80,http://66.91.104.226/home,enphase,21.39734,-157.97516,home,,100,10
24,50.113.6.199,80,http://50.113.6.199/home,enphase,21.2941,-157.8284,home,,180,18
25,76.88.131.212,80,http://76.88.131.212/home,enphase,21.3179,-157.8521,home,,360,36
26,98.155.81.84,80,http://98.155.81.84/home,enphase,21.39734,-157.97516,home,,270,27
27,50.113.24.39,80,http://50.113.24.39/home,enphase,21.4504,-158.01503,home,,300,30
28,72.130.219.229,80,http://72.130.219.229/home,enphase,21.2887,-157.8006,home,,370,37
29,98.155.91.146,80,http://98.155.91.146/home,enphase,21.39734,-157.97516,home,,350,35
30,76.88.157.36,80,http://76.88.157.36/home,enphase,21.38667,-158.00917,home,,1080,108
31,66.75.111.17,80,http://66.75.111.17/home,enphase,21.4504,-158.01503,home,,7.65,
32,141.239.106.219,81,http://141.239.106.219:81/home,enphase,21.40241,-157.74054,home,,0,0
33,98.155.123.157,80,http://98.155.123.157/home,enphase,21.4504,-158.01503,home,,320,32
34,141.239.216.176,80,http://141.239.216.176/home,enphase,21.4504,-158.01503,home,,7.65,
